Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Забарна,Михайло,Борисович,Чоловік,1999-09-17,Дипломат,село Голубівка,"провулок Ботанічний, буд. 36 кв. 673, Сміла, 72706",026 872 35 43,atymchuk@example.com
Прокопович,Онисим,Олександрович,Чоловік,2003-11-01,Локсмайстер,хутір Олешки,"вулиця Калнишевського Петра, буд. 3 кв. 02, Люботин, 68194",+380 32 810 82 98,udovenkoamvrosii@example.com
Корбут,Гліб,Борисович,Чоловік,1945-10-18,Ґрунтознавець,місто Калинівка ,"вулиця Пересипська 2-га, буд. 982 кв. 28, Калуш, 86134",152 08 19,aaronbandurka@example.net
Алексійчук,Пріска,Павлівна,Жінка,1990-01-12,Промисловець,селище Харків,"проспект Єфімова, буд. 8, Зимогір'я, 92158",+380 98 278-23-13,nikoliukdemian@example.net
Ірванець,Прохір,Володимирович,Чоловік,1948-01-26,Економіст,селище Новоазовськ,"парк Космонавта Комарова, буд. 157, Лозова , 17238",+380 11 024-90-20,nataliiavakhnii@example.org
Штокало,Олена,Петрівна,Жінка,1939-03-15,Менеджер,селище Миргород,"провулок Літня, буд. 326 кв. 208, Ромни, 53459",082 154 39 73,avreliibezborodko@example.org
Чайка,Остап,Михайлович,Чоловік,1970-02-20,Секретар,місто Жовква,"набережна Стороженка Олега, буд. 68, Погребище, 34232",+380 (18) 442-94-87,verhunrostyslav@example.net
Забарний,Єва,Володимирівна,Жінка,1978-04-14,Водій,село Лебедин,"сквер Чорноморського козацтва, буд. 0 кв. 453, Шостка, 07621",493 89 99,mykhailyna74@example.org
Швачка,Юстим,Максимович,Чоловік,1994-05-16,Мікробіолог,селище Кропивницький,"узвіз Агрономічний, буд. 537, Бунге , 08780",+380 (70) 012-18-95,levko95@example.org
Свистун,Тетяна,Григорівна,Жінка,1947-08-13,Філолог,селище Путивль,"набережна Дальницьке, буд. 83, Бахмут, 13723",021 023-29-26,rkolesnychenko@example.org
Байрак,Леон,Володимирович,Чоловік,1985-11-10,Живописець,селище Алчевськ,"сквер Єфімова, буд. 082 кв. 7, Донецьк, 51206",+380 28 884-00-23,qlytvyn@example.org
Щербань,Богодар,Васильович,Чоловік,1985-05-13,Співак,місто Сєвєродонецьк,"площа Чехова, буд. 782 кв. 87, Яремче, 18555",+380 61 017-15-17,bhydenkoleonid@example.com
Михалюк,Йосип,Михайлович,Чоловік,2002-10-31,Ветеринар,місто Хотин,"узвіз Удільний, буд. 7 кв. 49, Алмазна, 49211",+380 45 185 32 30,oksana84@example.com
Фастенко,Артем,Михайлович,Чоловік,1985-02-09,Редактор,село Первомайськ,"парк Академіка Вільямса, буд. 035, Покров, 10140",085-22-62,edyta10@example.org
Ємельяненко,Софія,Борисівна,Жінка,1945-07-04,Водій,хутір Сторожинець,"вулиця Волзький, буд. 09 кв. 5, Новогродівка, 64043",090 848-78-90,tereza84@example.org
Савенко,Еріка,Михайлівна,Жінка,1972-12-22,Архітектор,селище Жмеринка,"парк Деволанівський узвіз, буд. 698, Севастополь, 08261",801 10 29,cherednykhryhorii@example.net
Дубина,Захар,Євгенович,Чоловік,1954-12-24,Вчитель,місто Роздільна,"шосе Соляний 3-й, буд. 74, Ворожба, 25486",+380 47 849-26-47,alevtyn55@example.com
Яковенко,Олександр,Павлович,Чоловік,1945-04-21,Машиніст,хутір Городище ,"провулок Лютневий 2-й, буд. 835 кв. 736, Гуляйполе, 76523",+380 (03) 006-22-04,xverkhola@example.com
Уманець,Феофан,Георгійович,Чоловік,1945-06-05,Кінокритик,місто Шостка,"вулиця Аеродромний 2-й, буд. 20, Погребище, 78306",023-27-91,geregaliza@example.net
Гоголь,Віолетта,Володимирівна,Жінка,2003-12-29,Астрофізик,село Нове Давидково,"проспект Левітана, буд. 67 кв. 111, Долина , 54875",+380 34 971-54-73,edytahrytsenko@example.com
Скиба,Феофан,Андрійович,Чоловік,1973-04-26,Історик,місто Ромни,"узвіз Горіхова, буд. 7, Вознесенськ, 31920",+380 87 026-64-73,albert78@example.org
Цушко,Ганна,Григорівна,Жінка,1953-06-04,Реабілітолог,село Золотоноша,"провулок Проектна 1-ша, буд. 31 кв. 892, Святогірськ, 06829",473 06 21,dankivmarko@example.org
Салій,Зиновій,Дмитрович,Чоловік,1989-12-04,Педагог,селище Золочів,"шосе Восьмого Березня Лінія 5-та, буд. 6, Алмазна, 11591",050 712 14 06,klyment42@example.net
Гузій,Богуслав,Степанович,Чоловік,1959-11-19,Конструктор,хутір Кременець,"парк Лазурний 2-й, буд. 879, Лиман , 33278",013 430 19 21,levko97@example.com
Пустовіт,Златослава,Олегівна,Жінка,1949-05-19,Педагог,хутір Буринь,"узвіз Лінія 36-та, буд. 7 кв. 0, Знам'янка, 90857",098 709 80 13,uzharko@example.com
Яремчук,Амвросій,Сергійович,Чоловік,2005-11-28,Хімік,хутір Корець,"набережна Георгія Гамова, буд. 90 кв. 93, Острог, 95671",348-86-00,kostiantyn22@example.net
Вітрук,Тереза,Павлівна,Жінка,1963-09-30,Мірошник,село Кодима,"шосе Індійська, буд. 161, Верхньодніпровськ, 34409",139 38 12,prokhirdanchenko@example.com
Александренко,Едуард,Георгійович,Чоловік,1946-04-25,Архітектор,село Заліщики,"шосе Сегедська, буд. 934 кв. 907, Марганець , 82934",060 001-72-46,valentyntsushko@example.org
Дубина,Олександр,Петрович,Чоловік,1991-12-24,Візажист,хутір Звенигородка,"шосе Лодочний, буд. 449 кв. 6, Красногорівка, 69466",+380 45 392 43 16,zhadanleonid@example.com
Атрощенко,Спас,Андрійович,Чоловік,1950-07-28,Медик,село Обухів,"площа Суднобудівна, буд. 6, Ямпіль, 52932",862 90 34,mzhadan@example.com
Сацюк,Лесь,Степанович,Чоловік,1952-08-14,Геофізик,село Привілля,"провулок Лесі Українки, буд. 83 кв. 0, Перемишляни, 48839",+380 28 231-43-78,dprykhodko@example.com
Доценко,Марко,Романович,Чоловік,1977-01-27,Нотаріус,хутір Нове Давидково,"набережна Аеропортівський 4-й, буд. 1 кв. 522, Авдіївка, 14906",+380 24 284 06 78,banderakhrystyna@example.net
Тесленко,Степан,Сергійович,Чоловік,2005-07-27,Біолог,село Боярка,"парк Рівності 2-й, буд. 4 кв. 481, Ізмаїл, 09449",+380 93 838-04-34,oleksandrpetliura@example.com
Шухевич,Роман,Євгенович,Чоловік,1959-07-18,Ветеринар,селище Вовчанськ,"шосе Навігаційний, буд. 985, Ізяслав, 27023",059 007-64-34,iosypvlasiuk@example.org
Сіробаба,Одарка,Олегівна,Жінка,1995-02-02,Математик,хутір Гірник ,"вулиця Мукачівський, буд. 28 кв. 120, Євпаторія, 86420",445-78-84,andriishynmykhailyna@example.com
Василенко,Тимофій,Петрович,Чоловік,1964-10-25,Бібліограф,хутір Березне,"сквер Ромашкова, буд. 0 кв. 24, Сіверськ, 62304",848 55 99,bevzenkomarta@example.net
Михалюк,Вікторія,Миколаївна,Жінка,1968-01-31,Дизайнер,хутір Олександрія,"вулиця Куниці, буд. 659, Білгород-Дністровський, 73392",+380 61 219-38-06,abramenkoavhustyn@example.com
Власюк,Микита,Григорович,Чоловік,2004-07-04,Головний меркшейдер,село Петрово-Красносілля,"площа Семафорний, буд. 7, Тернопіль, 97654",556 98 88,trokhymkovpak@example.net
Байдак,Аніта,Олегівна,Жінка,2005-09-22,Філолог,хутір Болград,"вулиця Сашка Хорошенка, буд. 6 кв. 3, Шаргород, 20651",070 446-91-07,ievhenkabaliuk@example.org
Савенко,Павло,Степанович,Чоловік,1941-11-30,Няня,село Болград,"вулиця Катаєва, буд. 42, Арциз, 34786",+380 (44) 487-91-21,erikaholyk@example.org
Килимник,Роман,Тарасович,Чоловік,1943-06-28,Графік,село Сокиряни,"шосе Радісна, буд. 728 кв. 5, Таврійськ, 67257",034 325-09-08,spas74@example.com
Баран,Прохір,Максимович,Чоловік,1986-09-27,Патологоанатом,село Ладижин,"парк 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Турка, 03227",+380 (98) 969-14-93,gatamanchuk@example.org
Чумаченко,Лесь,Павлович,Чоловік,1989-01-26,Бібліотекар,село Татарбунари,"набережна Відважних, буд. 5, Верхньодніпровськ, 76303",+380 (10) 115-47-52,iaryna22@example.org
Ейбоженко,Лариса,Романівна,Жінка,1978-11-09,Ріелтор,село Луцьк,"площа Архітектурна, буд. 2 кв. 01, Таврійськ, 07935",+380 (99) 477-23-37,vovkavhustyn@example.org
Жарко,Борислав,Георгійович,Чоловік,1959-04-08,Економіст,місто Покровськ,"набережна Іванова, буд. 8, Алушта, 40795",984-48-53,shmorhunmarta@example.net
Андрійчук,Софія,Іванівна,Жінка,1986-07-18,Драматург,село Алупка,"площа Армійська, буд. 11, Татарбунари, 32028",+380 08 570 31 70,orysiahunko@example.com
Авдєєнко,Лукʼян,Миколайович,Чоловік,1979-03-08,Кінолог,селище Перечин,"сквер Мічманський 2-й, буд. 8, Бердянськ, 40708",+380 12 901-23-34,mchumak@example.com
Штепа,Орися,Павлівна,Жінка,1973-07-05,Підприємець,місто Вилкове,"шосе Короленка, буд. 20 кв. 04, Любомль, 31233",753 81 42,roksolana79@example.org
Бандура,Йосип,Васильович,Чоловік,1995-08-29,Археолог,хутір Герца,"провулок Студентський 1-й, буд. 5, Сокиряни, 78698",+380 27 388-47-48,anita77@example.com
Нестеренко,Гліб,Дмитрович,Чоловік,1998-03-29,Музичний редактор,село Люботин,"провулок Василя Кандинського 3-й, буд. 1, Верхівцеве, 24825",051 770 07 90,iarema86@example.net
Кибкало,Амвросій,Петрович,Чоловік,1977-10-20,Програміст,село Маріуполь,"парк Семафорний, буд. 6, Великі Мости, 38330",+380 (07) 845-00-45,prokhir38@example.com
Бабак,Яків,Павлович,Чоловік,1957-05-03,Кіноактор,хутір Жашків,"узвіз Москвіна, буд. 2, Устилуг, 77550",028 872-13-01,mdzyndra@example.org
Артюх,Оксана,Михайлівна,Жінка,1947-02-01,Вчитель,хутір Судова Вишня,"провулок Пересипська 3-тя, буд. 71 кв. 98, Гайсин, 25449",+380 57 470 13 16,andriiriabovil@example.com
Швачко,Омелян,Романович,Чоловік,1955-07-02,Кухар,село Немирів,"узвіз Тимірязєва, буд. 804, Кілія, 70541",114-11-44,arsenmamchur@example.com
Царенко,Альберт,Олександрович,Чоловік,1961-03-18,Євнух,хутір Кременчук,"набережна Вчительської, 2-й, буд. 6 кв. 145, Красноград, 55310",+380 49 201-64-06,rizhakevych@example.net
Вернидуб,Богдан,Олександрович,Чоловік,1971-01-31,Намотувальник,хутір Ірміно,"проспект Газова, буд. 8, Луганськ, 56202",+380 43 454 94 93,levchenkomyron@example.net
Гресь,Зорян,Іванович,Чоловік,1969-02-16,Медик,село Люботин,"шосе Платанова, буд. 34, Городенка, 20091",036 149-76-90,ihnat87@example.org
Ґереґа,Богуслава,Іванівна,Жінка,1967-11-02,Фольклорист,селище Ірміно,"набережна Азовський, буд. 2, Буринь, 23840",+380 77 479 93 18,iaroslavsatsiuk@example.org
Данченко,Макар,Євгенович,Чоловік,1980-05-19,Шериф,місто Хмільник,"проспект Василя Кандинського, буд. 2, Білопілля, 21254",598-94-33,odarkaverhun@example.org
Жаліло,Данило,Романович,Чоловік,1951-12-06,Бібліотекар,місто Ізмаїл,"парк 13-та ст. Великого Фонтану пляж, буд. 8 кв. 52, Сорокине, 08446",+380 (64) 524-05-59,pfartushniak@example.net
Баранець,Болеслав,Максимович,Чоловік,1971-11-09,Пілот,селище Гірник ,"вулиця Каманіна, буд. 49 кв. 5, Кипуче, 09426",061 310-16-50,ieva23@example.org
Лубенець,Ярина,Тарасівна,Жінка,1958-10-09,Адвокат,село Березне,"вулиця 5-та Суворовська, буд. 461, Кілія, 09413",+380 11 124 18 41,sviatoslav51@example.net
Килимник,Борислав,Іванович,Чоловік,1986-06-26,Мінералог,селище Суходільськ,"сквер Івана Микитенка, буд. 960 кв. 830, Кілія, 19197",+380 (88) 761-07-44,varvarahohol@example.net
Хомик,Богуслава,Павлівна,Жінка,1985-05-28,Промисловець,селище Барвінкове,"узвіз Стахановський 4-й, буд. 067 кв. 0, Мена , 38979",058-19-17,mykhailiukdanna@example.net
Шведченко,Галина,Максимівна,Жінка,1948-10-24,Мірошник,селище Рахів,"сквер Гаршина, буд. 6 кв. 35, Бар, 05068",+380 (11) 591-84-36,edytakhrystenko@example.com
Скирда,Ольга,Олександрівна,Жінка,1982-09-16,Кухар,місто Дебальцеве,"сквер Фонтанська дорога, буд. 375 кв. 14, Хорол , 37981",+380 66 418 13 77,olesbazylevych@example.com
Устенко,Дан,Георгійович,Чоловік,1968-03-03,Бізнесмен,місто Кривий Ріг,"провулок Приморський, буд. 6, Ковель, 61325",+380 59 696 45 30,vladyslavonyshchenko@example.com
Гоголь,Миколай,Миколайович,Чоловік,1945-02-03,Скульптор,село Берегове,"набережна Шефська, буд. 12, Сокаль, 98832",+380 88 750 44 76,vladyslavdemianenko@example.net
Артюшенко,Світлана,Григорівна,Жінка,1964-12-13,Реабілітолог,місто Алупка,"шосе 10-та Суворовська, буд. 09, Голубівка, 67650",268-05-43,levko11@example.com
Тихий,Вадим,Михайлович,Чоловік,1940-05-27,Клавішник,село Глобине,"вулиця Каманіна, буд. 354, Черкаси, 50070",+380 67 239 45 42,nataliiaiemelianenko@example.org
Чміль,Назар,Васильович,Чоловік,1985-03-11,Філолог,місто Лозова ,"шосе Думська, буд. 99, Коломия, 01291",029 346-34-41,ihor51@example.net
Товстоліс,Нестор,Олегович,Чоловік,1944-11-30,Інженер,хутір Жовква,"узвіз Васнецова, буд. 96, Донецьк, 33347",+380 37 070-25-62,sriabchenko@example.com
Негода,Леонід,Дмитрович,Чоловік,1969-01-14,Публіцист,село Славутич,"узвіз Басейний 4-й, буд. 9 кв. 00, Суходільськ, 86820",+380 85 061-26-26,tprytula@example.net
Шаблій,Еріка,Василівна,Жінка,1979-08-17,Вчитель,селище Золоте,"проспект Композитора Глинки, буд. 326, Олександрівськ, 74257",057-83-53,ilienkobohdan@example.net
Дробʼязко,Ада,Василівна,Жінка,1970-07-21,Музикант,селище Сулимівка (Слов'янськ),"проспект Учительський, буд. 421, Кагарлик, 23824",+380 (43) 293-00-53,ostaptsymbal@example.com
Чайка,Юстина,Олегівна,Жінка,1960-11-08,Кухар,хутір Боярка,"шосе Пресича Олександра, буд. 2 кв. 11, Вижниця, 70488",+380 47 959 77 14,achornovil@example.net
Чубай,Марко,Сергійович,Чоловік,2004-08-23,Диригент,село Дунаївці,"парк Пiвденний, буд. 5, Перещепине, 82978",+380 (03) 220-84-08,jbabenko@example.org
Тимченко,Людмила,Григорівна,Жінка,1960-12-18,Головний меркшейдер,хутір Ізюм,"сквер Вокзальна, буд. 55 кв. 075, Вуглегірськ, 51201",+380 (66) 865-48-88,mykhailobaida@example.org
Лесик,Борис,Павлович,Чоловік,1989-10-01,Адвокат,хутір Путивль,"узвіз Фонтанська дорога, буд. 929, Хуст, 99535",046 126-09-64,kalchenkoheorhii@example.com
Єщенко,Тетяна,Максимівна,Жінка,1978-09-09,Програміст,місто Ланівці,"узвіз Авдєєва-Чорноморського, буд. 39 кв. 16, Белз, 68633",064 555-63-31,zbabenko@example.net
Ірванець,Аліна,Петрівна,Жінка,1941-12-22,Астрофізик,село Добропілля,"площа Санітарна, буд. 59, Сніжне, 37724",+380 47 548-78-57,panasdzhun@example.net
Давимука,Марко,Борисович,Чоловік,1984-11-19,Штукатур,селище Вишневе ,"сквер Лавкова, буд. 2 кв. 436, Червоносів, 66987",+380 77 070-84-34,teodor18@example.net
Вакуленко,Тимофій,Михайлович,Чоловік,2008-03-18,Гицель,хутір Чистякове,"вулиця Академіка Філатова, буд. 25 кв. 91, Виноградів, 06081",979-28-41,heorhiitereshchenko@example.org
Бевз,Григорій,Георгійович,Чоловік,2005-01-29,Маркетолог,селище Ямпіль,"площа Андрійця Олега, буд. 211 кв. 062, Ялта, 03427",080 939-53-31,ievhen50@example.com
Вергун,Віолетта,Володимирівна,Жінка,1989-10-15,Скульптор,місто Новомиргород,"проспект Магістральна, буд. 4, Шахтарськ, 01891",835-97-37,larysa31@example.com
Фартушняк,Марко,Євгенович,Чоловік,1994-02-02,Реставратор,місто Хотин,"узвіз Канатна, буд. 12, Полтава, 64163",+380 27 700-30-22,leopold20@example.com
Дашенко,Євген,Іванович,Чоловік,2002-02-21,Професор,місто Прилуки,"сквер Селекційний, буд. 078, Іллінці, 62376",+380 (95) 091-61-82,chmilsviatoslava@example.net
Цимбалюк,Гордій,Сергійович,Чоловік,1969-11-05,Ріелтор,селище Полонне,"сквер Щукіна, буд. 67, Моршин, 71817",040 930 78 94,wromanets@example.org
Байрак,Тимофій,Григорович,Чоловік,2002-09-01,Продюсер,село Географія Вільнянська,"площа Ясна, буд. 92, Дружківка, 84871",+380 (04) 857-93-89,atamaniukpanas@example.net
Назаренко,Борис,Петрович,Чоловік,1942-03-29,Реабілітолог,село Стрий,"парк Овідіопольська дорога, буд. 966, Вільногірськ, 41593",095 98 37,jhrechko@example.org
Ющенко,Венедикт,Андрійович,Чоловік,1949-05-16,Нотаріус,село Алмазна,"вулиця Солонцюватий, буд. 9, Лиман , 77360",+380 19 731-38-53,ieromenkoparmen@example.com
Ванченко,Марта,Андріївна,Жінка,1983-05-08,Кур'єр,село Очаків,"узвіз Сільськогосподарський, буд. 0 кв. 12, Лозова , 38924",+380 49 900 56 50,khrystynaizhak@example.com
Власюк,Остап,Євгенович,Чоловік,1952-08-16,Філолог,село Апостолове,"сквер Прирейкова, буд. 8 кв. 18, Глиняни, 02207",726 46 06,heorhiizabarnyi@example.com
Ґжицький,Спас,Романович,Чоловік,1981-07-19,Гірник,хутір Ялта,"вулиця Мала, буд. 28, Торецьк, 88601",+380 (58) 424-18-49,havrylo68@example.com
Кабалюк,Захар,Миколайович,Чоловік,1988-06-30,Публіцист,село Вишгород,"парк Восьмого березня 9-й, буд. 651 кв. 45, Селидове, 25590",005 460 28 57,zaietsandrii@example.org
Нестайко,Мілена,Максимівна,Жінка,1984-01-25,Менеджер,селище Великі Мости,"парк Обривиста, буд. 4, Белз, 10892",+380 (57) 040-86-18,hordiiderehus@example.net
Дашенко,Веніямин,Володимирович,Чоловік,1973-12-28,Підприємець,місто Снігурівка,"шосе Горизонтальна, буд. 63, Лиман , 85753",082 420 28 20,varfolomii93@example.com
Батуринець,Єлисей,Олегович,Чоловік,2007-05-13,Музикант,хутір Южне,"вулиця Танфільєва, буд. 897, Сколе, 15311",574 21 11,dkonoplia@example.com
Канівець,Едита,Григорівна,Жінка,1943-11-01,Музичний редактор,хутір Кам'янське,"сквер Середньофонтанська, буд. 9 кв. 51, Торецьк, 85104",+380 96 010-87-57,kyrylohaida@example.net
Гук,Омелян,Євгенович,Чоловік,1981-10-19,Нотаріус,селище Старокостянтинів,"узвіз Академічний, буд. 1 кв. 5, Вуглегірськ, 08398",069 864-02-13,qzinkevych@example.com
Заруба,Трохим,Дмитрович,Чоловік,1945-01-26,Акушер,хутір Львів,"парк Скляний 3-й, буд. 9, Брянка, 83611",346 04 17,lholoborodko@example.com
Гаєвська,Онисим,Максимович,Чоловік,1946-11-17,Намотувальник,село Татарбунари,"сквер Тургенєва, буд. 76 кв. 0, Берестечко, 20808",+380 (83) 799-04-29,bzhalilo@example.org
Бандура,Зиновій,Михайлович,Чоловік,1946-07-02,Фармацевт,хутір Євпаторія,"проспект Старосінна, буд. 954, Дубровиця, 14225",037 095-51-84,wzhuk@example.com
Вдовенко,Валентин,Андрійович,Чоловік,1984-06-29,Соціолог,село Куп'янськ,"проспект 411-ї батареї, буд. 194, Звенигородка, 79886",+380 51 851-44-61,hennadiikonoplenko@example.com
Єрмоленко,Святослава,Степанівна,Жінка,1974-05-18,Кінокритик,місто Синельникове,"набережна Олександра Вронського, буд. 0 кв. 2, Білозерське, 85573",242-37-12,eduarddrobiazko@example.com
Івасюк,Еріка,Борисівна,Жінка,2006-09-28,Детектив,село Добропілля,"шосе Шахтинський, буд. 402 кв. 57, Зоринськ, 17762",091 028 25 94,avdieienkoiukhym@example.org
Ващенко-Захарченко,Альбіна,Борисівна,Жінка,1998-12-06,Провізор,хутір Берестечко,"проспект Лінія 23-тя, буд. 03 кв. 44, Стебник, 16680",+380 31 772 82 77,orysia79@example.org
Рябець,Юстим,Павлович,Чоловік,1979-01-03,Палеонтолог,хутір Рава-Руська,"вулиця Державіна, буд. 8, Ржищів, 87102",459-65-92,akhorishko@example.com
Рудик,Богуслава,Максимівна,Жінка,1985-03-22,Епідеміолог,селище Макіївка,"узвіз Львівський, буд. 87 кв. 065, Нетішин, 65379",076 399-11-53,olena69@example.net
Свириденко,Артем,Георгійович,Чоловік,1964-01-02,Музичний редактор,місто Чуднів,"провулок Гімназична, буд. 66, Іловайськ, 72496",+380 85 363-13-95,mnikoliuk@example.org
Чередник,Анжела,Григорівна,Жінка,1988-09-25,Графік,хутір Арциз,"парк Ляпунова, буд. 85 кв. 562, Липовець, 58878",005 258 15 00,abazylevych@example.com
Гайдамака,Левко,Олегович,Чоловік,1990-10-13,Електрослюсар,хутір Узин,"набережна Сонячна, буд. 522 кв. 3, Петрово-Красносілля, 87856",+380 92 472-80-74,oles38@example.net
Гузій,Венедикт,Васильович,Чоловік,1969-05-28,Випробувач,село Кремінна,"сквер Академічна, буд. 1, Волочиськ, 11618",+380 86 588-96-81,shcherbakrostyslav@example.com
Бгиденко,Вʼячеслав,Павлович,Чоловік,2008-02-19,Кухар,село Соснівка ,"шосе 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 212, Корсунь-Шевченківський, 17028",+380 42 759 11 53,arkhypenkovasylyna@example.org
Лукаш,Еріка,Романівна,Жінка,1999-03-15,Електротехнік,місто Кагарлик,"узвіз Марата, буд. 88 кв. 5, Стрий, 14608",+380 22 224-53-43,tytarenkoiarema@example.com
Шевченко,Макар,Євгенович,Чоловік,1957-02-25,Музикант,селище Довжанськ,"сквер Тінистий, буд. 62 кв. 3, Перевальськ, 85309",541-75-62,ihorhavrylets@example.org
Шахрай,Тетяна,Олегівна,Жінка,1984-08-12,Правник,село Бережани,"шосе Шишкіна 3-й, буд. 9 кв. 75, Конотоп, 45516",+380 02 455-11-19,havrylovelychko@example.net
Бабко,Іван,Андрійович,Чоловік,1967-10-30,Соціолог,селище Енергодар,"сквер Овідіопольський, буд. 1 кв. 792, Мукачево, 83743",+380 20 892-12-07,omelian72@example.org
Конопля,Валерій,Михайлович,Чоловік,1983-06-11,Астрофізик,селище Костянтинівка,"площа Каркашадзе, буд. 977 кв. 199, Чигирин, 12924",+380 85 448-73-42,olha81@example.com
Забарний,Демид,Михайлович,Чоловік,1991-11-09,Краєзнавець,місто Верхньодніпровськ,"узвіз Отамана Чепіги, буд. 9, Прип'ять , 23001",578-87-10,erika69@example.net
Теличенко,Клавдія,Михайлівна,Жінка,1942-02-28,Кінолог,селище Підгородне,"парк Новикова, буд. 6, Галич, 18412",520 63 37,batihanita@example.net
Дзиндра,Павло,Олександрович,Чоловік,1956-08-16,Фермер,селище Баранівка,"узвіз Платанова, буд. 10, Копичинці, 64719",074 662-92-89,havrylokomar@example.com
Гресь,Ігор,Павлович,Чоловік,1943-08-27,Графік,хутір Чигирин,"сквер Тополина, буд. 8, Горішні Плавні, 89812",773-74-97,averchenkosolomon@example.com
Чайка,Богуслав,Олегович,Чоловік,1977-04-03,Астрофізик,хутір Мерефа,"проспект Тарутинська, буд. 439, Узин, 30983",+380 90 348 30 07,khomenkoamvrosii@example.net
Медведенко,Дмитро,Максимович,Чоловік,1960-04-15,Гицель,село Сорокине,"площа Артилерійський 2-й, буд. 9, Хмельницький, 17983",+380 80 682 03 43,liubov95@example.org
Самойленко,Пантелеймон,Максимович,Чоловік,1964-08-20,Стиліст,хутір Кодима,"провулок Кристаловського, буд. 1, Червоноград, 94989",758 41 53,konopliamyron@example.org
Калениченко,Леонтій,Степанович,Чоловік,1941-12-06,Дизайнер,селище Шостка,"вулиця Суднобудівний, буд. 7, Глиняни, 53018",003 033-19-66,tsiupamykhailyna@example.org
Дацюк,Болеслав,Павлович,Чоловік,1953-04-28,Журналіст,хутір Горішні Плавні,"провулок Штурвальна, буд. 315 кв. 4, Балаклія, 64422",+380 10 845-20-83,alevtynchubai@example.com
Масляк,Святослава,Іванівна,Жінка,1997-07-16,Петрограф,село Бібрка,"провулок Аеродромний 3-й, буд. 473, Васильків, 29916",+380 (20) 136-09-32,leonmykhailychenko@example.net
Акуленко,Антон,Павлович,Чоловік,1973-12-07,Композитор,хутір Городище ,"площа Матроський узвіз, буд. 574 кв. 80, Енергодар, 94769",+380 64 986 42 56,zzasiadko@example.org
